                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.79116,                0.73366,                 1.1231,                0.95079,                0.95522,                0.98458,                0.79546,                0.66052,                0.74743,                0.90723,               0.007921,               0.007921,               0.007921
                     65,                 0.8258,                0.76244,                 1.1568,                0.95564,                0.96463,                0.98855,                0.82509,                0.62441,                0.93297,                0.87589,               0.007888,               0.007888,               0.007888
                     66,                0.79694,                0.70793,                 1.1136,                0.94888,                0.96958,                0.98699,                 0.8237,                0.60313,                  0.875,                0.85769,               0.007855,               0.007855,               0.007855
                     67,                0.77177,                0.70277,                 1.1107,                0.98334,                0.98507,                0.99396,                0.85416,                0.58389,                0.95592,                0.86291,               0.007822,               0.007822,               0.007822
                     68,                0.79221,                0.72905,                 1.1298,                0.96986,                0.98259,                0.99279,                0.83912,                0.58183,                0.57967,                0.86272,               0.007789,               0.007789,               0.007789
                     69,                  0.771,                0.76178,                 1.1096,                0.98105,                0.95274,                0.98903,                0.82856,                0.59592,                0.81996,                0.87136,               0.007756,               0.007756,               0.007756
                     70,                0.77516,                0.74253,                  1.126,                0.97097,                0.99254,                0.99341,                0.84077,                 0.5829,                0.74681,                0.85585,               0.007723,               0.007723,               0.007723
                     71,                 0.7943,                0.72381,                  1.129,                0.98648,                0.97761,                0.99411,                0.84358,                0.60298,                0.90419,                  0.865,                0.00769,                0.00769,                0.00769
                     72,                0.80138,                 0.7583,                 1.1282,                0.96998,                0.96766,                0.98842,                0.81754,                0.65539,                 1.8862,                0.89463,               0.007657,               0.007657,               0.007657
                     73,                0.78128,                0.72931,                 1.1223,                0.97973,                0.98507,                0.99084,                0.83786,                0.57551,                  1.956,                0.84765,               0.007624,               0.007624,               0.007624
                     74,                0.75919,                 0.6833,                  1.099,                0.96378,                0.99288,                0.99319,                0.85045,                0.57486,                0.78427,                0.85275,               0.007591,               0.007591,               0.007591
                     75,                 0.7586,                0.68375,                 1.0956,                0.98005,                0.98507,                0.99333,                0.84925,                0.59106,                 1.0779,                0.85523,               0.007558,               0.007558,               0.007558
                     76,                0.74802,                0.66082,                 1.0919,                0.97547,                0.98911,                0.99139,                0.84678,                 0.5925,                 1.3234,                0.88573,               0.007525,               0.007525,               0.007525
                     77,                0.77581,                0.71615,                 1.1106,                 0.9949,                0.97066,                0.99422,                0.85731,                0.54043,                0.48443,                0.83857,               0.007492,               0.007492,               0.007492
                     78,                0.75079,                0.69079,                 1.0971,                0.98473,                0.98756,                0.99234,                0.87101,                0.54391,                0.97722,                0.82658,               0.007459,               0.007459,               0.007459
                     79,                0.74461,                0.67158,                 1.0852,                0.97723,                0.96081,                0.99158,                0.85359,                0.54399,                 0.9348,                0.82933,               0.007426,               0.007426,               0.007426
                     80,                0.75786,                 0.7111,                 1.0916,                0.98273,                0.99093,                0.99406,                0.86838,                 0.5272,                0.75051,                 0.8249,               0.007393,               0.007393,               0.007393
                     81,                0.75983,                0.65614,                 1.1119,                0.99249,                0.98657,                0.99403,                0.86091,                0.56719,                0.49232,                0.84027,                0.00736,                0.00736,                0.00736
                     82,                0.71532,                0.65762,                 1.0898,                0.97448,                0.99254,                0.99371,                0.86553,                0.53711,                0.62715,                0.82979,               0.007327,               0.007327,               0.007327
                     83,                 0.7356,                0.66299,                  1.084,                0.97497,                 0.9801,                0.98826,                 0.8615,                0.53109,                0.53908,                 0.8336,               0.007294,               0.007294,               0.007294
                     84,                0.72681,                0.66174,                 1.0857,                0.99186,                 0.9801,                0.99405,                0.85692,                 0.5332,                0.70864,                0.82709,               0.007261,               0.007261,               0.007261
                     85,                0.73225,                0.66291,                 1.0861,                0.98512,                0.98843,                0.99405,                0.85879,                0.55897,                0.48539,                0.82808,               0.007228,               0.007228,               0.007228
                     86,                0.70881,                0.65819,                 1.0946,                0.99215,                0.98507,                 0.9945,                0.85471,                0.56272,                0.44291,                0.83938,               0.007195,               0.007195,               0.007195
                     87,                0.75307,                 0.6608,                 1.1055,                0.98843,                0.99502,                0.99457,                0.86765,                 0.5307,                0.62879,                0.83095,               0.007162,               0.007162,               0.007162
                     88,                0.71854,                0.65734,                 1.0795,                0.98829,                0.98756,                0.99465,                0.85364,                0.55829,                0.89172,                0.82905,               0.007129,               0.007129,               0.007129
                     89,                0.72068,                0.63451,                 1.0829,                0.98847,                0.99005,                0.99438,                0.87056,                0.53173,                0.47744,                0.82241,               0.007096,               0.007096,               0.007096
                     90,                0.73015,                0.65572,                 1.0863,                0.98526,                0.99739,                0.99404,                0.86803,                0.51954,                0.83484,                0.82766,               0.007063,               0.007063,               0.007063
                     91,                0.67478,                0.61115,                  1.068,                0.97809,                0.99938,                0.99442,                0.87506,                0.49842,                0.50146,                0.80551,                0.00703,                0.00703,                0.00703
                     92,                0.70837,                0.64791,                  1.077,                0.98814,                0.99502,                0.99465,                0.88155,                0.48677,                0.66118,                0.80353,               0.006997,               0.006997,               0.006997
                     93,                 0.6875,                0.61412,                  1.061,                0.99254,                0.99295,                0.99433,                0.88952,                0.47767,                0.47521,                0.79577,               0.006964,               0.006964,               0.006964
                     94,                0.66843,                 0.6144,                 1.0588,                0.97558,                0.99366,                0.99404,                0.88063,                0.48567,                0.81516,                0.80144,               0.006931,               0.006931,               0.006931
                     95,                0.69954,                0.62965,                 1.0717,                0.99171,                0.97761,                 0.9933,                 0.8896,                 0.4762,                0.53293,                0.80127,               0.006898,               0.006898,               0.006898
                     96,                0.69847,                 0.6282,                 1.0668,                 0.9917,                0.98507,                0.99457,                0.88364,                0.49333,                0.43632,                0.80508,               0.006865,               0.006865,               0.006865
                     97,                0.67583,                0.58848,                 1.0614,                0.98529,                0.99941,                 0.9948,                0.87469,                0.49002,                0.61346,                0.80034,               0.006832,               0.006832,               0.006832
                     98,                0.68786,                0.62682,                 1.0607,                0.99006,                0.99135,                0.99449,                0.87247,                0.47635,                0.69335,                0.78945,               0.006799,               0.006799,               0.006799
                     99,                 0.7018,                0.61598,                 1.0551,                0.98756,                0.98714,                0.99293,                0.87494,                 0.4996,                0.60978,                0.80417,               0.006766,               0.006766,               0.006766
                    100,                0.70499,                 0.6244,                 1.0686,                0.98518,                0.99226,                0.99393,                0.89111,                0.48607,                0.88612,                0.78648,               0.006733,               0.006733,               0.006733
                    101,                0.68361,                0.60857,                 1.0724,                0.98293,                0.99254,                0.99218,                0.87888,                0.51381,                0.93535,                0.80254,                 0.0067,                 0.0067,                 0.0067
                    102,                0.68674,                0.60484,                 1.0648,                0.99505,                0.99914,                0.99488,                0.88778,                0.48259,                0.36919,                0.79836,               0.006667,               0.006667,               0.006667
                    103,                0.65842,                0.57293,                  1.048,                0.98415,                      1,                 0.9946,                0.89011,                0.48703,                0.48512,                 0.8013,               0.006634,               0.006634,               0.006634
                    104,                0.67249,                0.59893,                 1.0498,                0.97315,                0.99181,                 0.9931,                0.89146,                0.49933,                0.67853,                0.80926,               0.006601,               0.006601,               0.006601
                    105,                0.68491,                0.59281,                 1.0547,                 0.9948,                0.98756,                 0.9947,                0.87999,                0.50179,                0.59298,                0.79717,               0.006568,               0.006568,               0.006568
